time_utc,time_excel,latitude_decimal,longitude_decimal,elevation_meters
2025-05-10T12:38:32Z,45787.52675925926,37.54319,-88.98031,158.5754240000363
2025-05-10T12:39:07Z,45787.52716435185,37.54322,-88.9809,163.56608000001506
2025-05-10T12:39:12Z,45787.52722222222,37.54321,-88.98085,163.20536000003574
2025-05-10T12:39:29Z,45787.52741898148,37.54337,-88.98137,166.2550240000204
2025-05-10T12:39:36Z,45787.5275,37.54332,-88.98096,164.794112
2025-05-10T12:39:42Z,45787.52756944444,37.54329,-88.98076,162.4915520000546
2025-05-10T12:39:47Z,45787.52762731481,37.54325,-88.98051,159.26719999999608
2025-05-10T12:40:13Z,45787.52792824074,37.54328,-88.98052,159.22169599999614
2025-05-10T12:40:20Z,45787.52800925926,37.5433,-88.98136,165.7475200000139
2025-05-10T12:40:26Z,45787.528078703705,37.54331,-88.98129,165.80209599998472
2025-05-10T12:40:32Z,45787.52814814815,37.54331,-88.98125,165.78999999998422
2025-05-10T12:40:36Z,45787.52819444444,37.5433,-88.98121,165.68272000002202
2025-05-10T12:40:47Z,45787.52832175926,37.54329,-88.98122,165.5931519999863
2025-05-10T12:40:51Z,45787.52836805556,37.54325,-88.98123,165.22840000000042
2025-05-10T12:40:56Z,45787.52842592593,37.54322,-88.98132,165.08281599997892
2025-05-10T12:41:01Z,45787.52848,37.54322,-88.98143,165.4800000000082
2025-05-10T12:41:05Z,45787.52853009259,37.5432,-88.98149,165.76799999994637
2025-05-10T12:41:10Z,45787.52858796297,37.54322,-88.98162,166.84800000003315
2025-05-10T12:41:15Z,45787.528645833336,37.54321,-88.98168,167.21337599999373
2025-05-10T12:41:20Z,45787.528703703705,37.54328,-88.98179,168.77750400006516
2025-05-10T12:41:24Z,45787.52875,37.54331,-88.98186,169.80307199995207
2025-05-10T12:41:29Z,45787.52880787037,37.5433,-88.98193,170.3764800000845
2025-05-10T12:41:34Z,45787.528865740744,37.54329,-88.982,171.14479999997454
2025-05-10T12:41:39Z,45787.52892361111,37.54323,-88.98202,170.49881600009215
2025-05-10T12:41:43Z,45787.528969907406,37.54322,-88.98207,170.99158399987903
2025-05-10T12:41:48Z,45787.529027777775,37.5432,-88.98212,171.3046399999137
2025-05-10T12:41:53Z,45787.52908564815,37.54319,-88.98217,171.76500800000306
2025-05-10T12:41:58Z,45787.52914351852,37.54316,-88.9822,171.6099200000779
2025-05-10T12:42:03Z,45787.52920138889,37.54314,-88.98226,171.4373120000251
2025-05-10T12:42:07Z,45787.52924768518,37.54313,-88.9823,171.18991999997533
2025-05-10T12:42:12Z,45787.52930555555,37.5431,-88.98237,170.62976000003349
2025-05-10T12:43:00Z,45787.529861111114,37.54304,-88.98214,168.92742399998525
2025-05-10T12:43:05Z,45787.52991898148,37.5431,-88.9822,170.54720000011403
2025-05-10T12:43:09Z,45787.529965277776,37.5431,-88.98228,170.73344000003974
2025-05-10T12:43:40Z,45787.530324074076,37.54286,-88.98242,167.88799999997218
2025-05-10T12:43:45Z,45787.530381944445,37.54285,-88.98248,167.78000000001498
2025-05-10T12:43:49Z,45787.53042824074,37.54284,-88.98251,167.51993599990672
2025-05-10T12:43:54Z,45787.530486111114,37.54287,-88.9826,166.43647999992731
2025-05-10T12:43:59Z,45787.530543981484,37.54291,-88.98265,166.01095999988473
2025-05-10T12:44:06Z,45787.53063,37.54292,-88.98254,167.88627200002077
2025-05-10T12:44:21Z,45787.530798611115,37.54297,-88.98242,169.07599999996592
2025-05-10T12:44:26Z,45787.530856481484,37.54301,-88.98244,169.50800000002664
2025-05-10T12:44:31Z,45787.53091435185,37.54299,-88.98248,169.29200000003448
2025-05-10T12:44:36Z,45787.53097222222,37.54295,-88.98251,168.6936799998929
2025-05-10T12:44:47Z,45787.53109953704,37.54289,-88.98255,167.41927999994536
2025-05-10T12:44:52Z,45787.53115740741,37.54288,-88.98256,167.16051199986407
2025-05-10T12:44:57Z,45787.53121527778,37.54285,-88.98259,166.39975999998498
2025-05-10T12:45:02Z,45787.531273148146,37.54285,-88.98263,165.7863200000075
2025-05-10T12:45:29Z,45787.53158564815,37.54294,-88.98269,165.61654399992744
2025-05-10T12:45:34Z,45787.531643518516,37.54292,-88.98431,165.7510399998822
2025-05-10T12:45:39Z,45787.531701388885,37.54295,-88.98439,166.09160000010237
2025-05-10T12:45:44Z,45787.53175925926,37.543,-88.98441,165.1519999999939
2025-05-10T12:46:04Z,45787.53199074074,37.54301,-88.98287,163.28955199993885
2025-05-10T12:46:10Z,45787.532060185185,37.54299,-88.98286,163.2741439999915
2025-05-10T12:46:29Z,45787.53228009259,37.54299,-88.98283,163.73163199991876
2025-05-10T12:46:47Z,45787.532488425924,37.54299,-88.98289,162.81665600006426
2025-05-10T12:47:02Z,45787.53266203704,37.54297,-88.98443,166.02392000010627
2025-05-10T12:48:46Z,45787.53386574074,37.54302,-88.98317,159.43273599997354
